Symbol,Open,Prev Close,Close,High,Low,Change,Turn over,Deals,Out Standing Bid,Out Standing Offer,Volume,MCAP (TZS 'B),Change_Percent,Daily_Range,Liquidity_Score,Market_Status,Date
AFRIPRISE,645,645,645,650,635,0,34142640,208,6546,45438,53094,94.2,0.0,15,0.08391336506912966,Closed,2026-07-20 20:59:24.005927
CRDB,2700,2680,2680,2720,2650,0,1700335850,2103,7716,128119,632724,6999.7,0.0,70,1.0,Closed,2026-07-20 20:59:24.005927
DCB,450,475,475,490,445,0,12109000,149,17551,140026,25645,91.0,0.0,45,0.04053110044822071,Closed,2026-07-20 20:59:24.005927
DSE,6690,6850,6850,6880,6540,0,37364920,56,2033,1438,5470,163.2,0.0,340,0.008645159658871799,Closed,2026-07-20 20:59:24.005927
EABL,5550,0,5510,0,0,5510,0,0,75,0,0,4357.2,0.0,0,0.0,Closed,2026-07-20 20:59:24.005927
JATU,265,0,265,0,0,265,0,0,0,0,0,5.3,0.0,0,0.0,Closed,2026-07-20 20:59:24.005927
JHL,8650,0,8650,0,0,8650,0,0,0,0,0,626.9,0.0,0,0.0,Closed,2026-07-20 20:59:24.005927
KA,115,0,115,0,0,115,0,0,1341,0,0,653.4,0.0,0,0.0,Closed,2026-07-20 20:59:24.005927
KCB,1930,1930,1930,1930,1920,0,11013880,52,3775,24429,5711,5732.8,0.0,10,0.00902605243360454,Closed,2026-07-20 20:59:24.005927
MBP,1930,1740,1740,1900,1720,0,4635540,26,1646,1201,2637,52.2,0.0,180,0.004167693970830884,Closed,2026-07-20 20:59:24.005927
MCB,830,820,820,900,760,0,4489570,81,20,2473,5449,50.7,0.0,140,0.008611969832027867,Closed,2026-07-20 20:59:24.005927
MKCB,4180,4230,4230,4300,4180,0,7363210,29,1810,11089,1743,99.6,0.0,120,0.002754755628046352,Closed,2026-07-20 20:59:24.005927
MUCOBA,490,460,460,495,455,0,489625,15,3233,8800,1065,15.0,0.0,40,0.0016831983613708346,Closed,2026-07-20 20:59:24.005927
NICO,3750,3740,3740,3810,3730,0,56239160,90,8475,3040,15028,230.6,0.0,80,0.023751272276695684,Closed,2026-07-20 20:59:24.005927
NMB,16750,16750,16750,17050,16700,0,1397904940,344,1642,4363,83448,8375.0,0.0,350,0.1318868890701159,Closed,2026-07-20 20:59:24.005927
NMG,260,0,250,0,0,250,0,0,109,193,0,47.1,0.0,0,0.0,Closed,2026-07-20 20:59:24.005927
PAL,390,415,415,420,345,0,10853575,67,2865,18190,26290,66.6,0.0,75,0.041550502272712904,Closed,2026-07-20 20:59:24.005927
SWALA,450,0,450,0,0,450,0,0,0,0,0,47.8,0.0,0,0.0,Closed,2026-07-20 20:59:24.005927
SWIS,2460,2450,2450,2450,2420,0,18158690,62,22894,7570,7425,88.2,0.0,30,0.011734974491247368,Closed,2026-07-20 20:59:24.005927
TBL,9840,9830,9830,10020,9780,0,17235980,43,680,709,1747,2900.4,0.0,240,0.0027610774998261486,Closed,2026-07-20 20:59:24.005927
TCC,12400,12520,12520,12600,12300,0,13973670,19,19636,299,1117,1252.0,0.0,300,0.00176538269450819,Closed,2026-07-20 20:59:24.005927
TCCL,3420,3390,3390,3420,3300,0,748177210,35,585,41758,264215,647.5,0.0,120,0.4175833380747372,Closed,2026-07-20 20:59:24.005927
TOL,1400,1440,1440,1450,1400,0,7645730,42,1810,55246,5312,82.8,0.0,50,0.008395445723569834,Closed,2026-07-20 20:59:24.005927
TPCC,6230,6260,6260,6300,6200,0,27261710,41,20,7480,4358,1126.3,0.0,100,0.006887679304088354,Closed,2026-07-20 20:59:24.005927
TTP,445,455,455,510,440,0,865370,58,152,1693,1870,43.3,0.0,70,0.002955475057054893,Closed,2026-07-20 20:59:24.005927
USL,25,0,25,0,0,25,0,0,791,0,0,9.1,0.0,0,0.0,Closed,2026-07-20 20:59:24.005927
VODA,800,795,795,810,780,0,497256315,181,3739,54070,621662,1780.8,0.0,30,0.9825168635929726,Closed,2026-07-20 20:59:24.005927
YETU,510,0,510,0,0,510,0,0,0,0,0,6.2,0.0,0,0.0,Closed,2026-07-20 20:59:24.005927
ITRUST ETF,1330,1320,1320,1350,1310,0,32653190,108,194533,76437,24776,179.5,0.0,40,0.039157673804059906,Closed,2026-07-20 20:59:24.005927
VERTEX ETF,330,325,325,340,315,0,10963405,251,11898,7983,33678,17.6,0.0,25,0.053226999449997155,Closed,2026-07-20 20:59:24.005927
